,selected,transfers_balance,transfers_in,transfers_out,ict_index,value,label
17,100781,-6752,7425,14177,0.0,44,0
18,95472,-8098,2606,10704,0.6,44,0
19,89291,-7979,1947,9926,1.2,44,0
20,83705,-6052,2740,8792,0.0,43,-1
21,78974,-4871,851,5722,0.0,43,0
22,75131,-4081,579,4660,0.0,43,0
23,76604,250,5712,5462,0.3,42,-1
24,77121,242,4260,4018,1.2,42,0
0,299,101,134,33,0.0,45,0
1,957,145,241,96,0.0,45,0
2,1541,123,324,201,0.0,45,0
3,1777,25,175,150,0.0,45,0
4,1970,7,127,120,0.0,45,0
5,2127,-5,145,150,0.0,45,0
6,2320,-12,121,133,0.0,45,0
7,2393,-29,77,106,0.0,45,0
8,2511,-24,104,128,0.0,45,0
9,2638,-14,92,106,0.0,45,0
10,2695,-13,69,82,0.0,45,0
11,2711,-53,54,107,0.0,45,0
12,2830,-24,104,128,0.0,45,0
13,2879,-23,58,81,0.0,45,0
14,2912,-45,77,122,0.0,45,0
15,3742,-2,222,224,0.0,45,0
16,3121,-10,104,114,0.0,45,0
17,3195,-36,110,146,0.0,45,0
18,3219,-34,33,67,0.0,45,0
19,3226,-33,47,80,1.7,44,-1
20,5107,1614,1960,346,0.0,44,0
21,4446,-653,219,872,0.0,44,0
22,4340,-186,145,331,0.0,44,0
0,36405,30080,33915,3835,0.3,50,0
1,51780,14296,20017,5721,2.2,50,0
2,59166,6000,12911,6911,3.8,50,0
3,85861,22577,28509,5932,2.7,50,0
4,64810,-19199,8239,27438,0.0,50,0
5,51099,-15129,682,15811,0.0,50,0
6,40546,-10758,525,11283,0.9,50,0
7,35876,-5346,702,6048,0.0,50,0
8,31810,-4174,102,4276,0.0,50,0
9,28639,-3279,83,3362,0.0,50,0
10,25580,-3056,154,3210,0.0,49,-1
11,24301,-1405,43,1448,0.0,49,0
12,22972,-1369,103,1472,0.0,49,0
13,21688,-1205,692,1897,2.6,49,0
14,22510,506,1016,510,5.1,49,0
15,25616,2519,3677,1158,1.8,49,0
16,23771,-1784,442,2226,2.2,49,0
17,25201,1023,1801,778,4.8,49,0
18,25207,-258,1019,1277,0.9,49,0
19,22318,-2851,141,2992,0.0,49,0
20,20849,-1573,35,1608,0.0,49,0
0,13675,13097,14154,1057,0.0,60,0
1,22952,8850,11226,2376,0.0,60,0
2,20124,-3158,3129,6287,1.2,60,0
3,17039,-3433,2359,5792,4.8,60,0
4,16774,-847,2313,3160,1.7,60,0
0,349600,38079,53128,15049,3.2,45,0
1,783041,333894,385360,51466,1.9,45,0
2,970195,154802,202024,47222,4.2,46,1
3,1479843,419020,459020,40000,2.8,47,1
4,1890748,373882,389263,15381,5.2,48,1
5,1988850,94491,125956,31465,0.4,48,0
6,1957640,-30823,55928,86751,2.1,48,0
7,2084116,90049,126674,36625,0.6,48,0
8,2056118,-17390,35488,52878,0.4,48,0
9,1866758,-31936,19427,51363,4.7,48,0
